WordID,SentenceNr,WordNr,Target,Surprisal,Entropy
0,1,2,are,1.7492661436862678,3.1955822
1,1,3,now,7.087832823369629,6.641812
2,1,4,rumblings,14.090913276065413,7.8305454
3,1,5,that,1.6146680018804764,3.5433872
4,1,6,Apple,6.691864038696368,8.396479
5,1,7,might,4.051689363654387,4.3615613
6,1,8,soon,5.581560184349646,6.00119
7,1,9,invade,13.216781819980671,6.591475
8,1,10,the,0.6676812110212448,3.9316556
9,1,11,smart,6.989732625697762,8.743198
10,1,12,watch,5.471033626990459,3.2633634
11,1,13,space,3.478007259184866,3.3003912
12,1,14,though,12.607711929225571,3.1149864
13,1,15,the,3.605741298901404,5.8960443
14,1,16,company,2.282930364539018,8.138538
15,1,17,is,3.348213389140498,4.363133
16,1,18,maintaining,9.76353654871132,6.5093527
17,1,19,its,2.2336128357628993,3.6497366
18,1,20,customary,12.073515418506929,8.054619
19,1,21,silence,0.9497575822757021,4.775347
20,1,22,The,15.555883292631282,2.3323195
21,1,23,watch,5.091052582907613,8.4414015
22,1,24,doesn't,8.228834678252925,6.437519
23,1,25,have,2.297695607950148,6.1744585
24,1,26,a,1.5922351147574716,4.264696
25,1,27,microphone,10.717328520265921,7.7372966
26,1,28,or,2.685000014786051,4.5401497
27,1,29,speaker,2.673582034153994,5.8942604
28,1,30,but,4.194826581971921,5.131227
29,1,31,you,6.572075439991299,5.543792
30,1,32,can,0.5747905007233559,2.3305793
31,1,33,use,2.098067713368754,6.2044144
32,1,34,it,2.214788418866416,4.0668097
33,1,35,to,1.011814176239073,2.633283
34,1,36,control,3.654653096899321,6.782362
35,1,37,the,2.9678758918467074,4.9792323
36,1,38,music,3.6899894468826897,6.6356387
37,1,39,on,3.3421582217401733,5.4363613
38,1,40,your,0.29120005373355107,1.4188482
39,1,41,phone,2.6157116038094252,3.3166394
40,1,42,You,8.736121492326388,5.7761793
41,1,43,can,0.842822862166697,3.2942312
42,1,44,glance,12.912918889332698,5.2221456
43,1,45,at,0.5909521311278799,2.148609
44,1,46,the,1.4318427692104772,3.0542862
45,1,47,watch,1.6261537844326468,5.195541
46,1,48,face,4.812465635526768,5.207594
47,1,49,to,2.102281832635513,4.313216
48,1,50,view,6.463724440922925,4.420386
49,1,51,the,2.005337022183588,4.71684
50,1,52,artist,10.574928706460447,5.708613
51,1,53,and,3.312398669609745,4.7318254
52,1,54,title,8.576957716840573,5.2014117
53,1,55,of,1.7192823187384059,5.264059
54,1,56,a,3.198888171322719,2.3428109
55,1,57,song,0.5789280566577389,1.9002321
56,2,2,days,4.742903833395725,9.138218
57,2,3,later,4.195624533306523,3.0874572
58,2,4,the,4.701980935941597,2.42577
59,2,5,British,7.647410156569355,11.678712
60,2,6,astronomer,12.330973961360623,9.22017
61,2,7,Richard,5.645717522087792,6.9986424
62,2,8,Carrington,4.707398078615306,8.984216
63,2,9,was,2.984677004305681,6.966915
64,2,10,observing,9.226675637829983,8.358897
65,2,11,the,1.4212540585157856,5.008233
66,2,12,interesting,15.617962863061901,7.907826
67,2,13,sunspot,8.533403954470103,8.213695
68,2,14,group,4.512735750587331,6.7064652
69,2,15,through,11.229037244597725,6.92375
70,2,16,his,1.5118694625959428,3.1342092
71,2,17,telescope,1.3237910954342522,6.2377424
72,2,18,when,3.2640847765883305,3.444381
73,2,19,he,0.9218757475219758,3.1113198
74,2,20,saw,2.3555300865469992,4.7095513
75,2,21,what,4.208183107580407,3.6769164
76,2,22,he,1.5542012091828368,3.021871
77,2,23,described,1.8571481730917434,4.000848
78,2,24,as,0.08644483210901928,0.5186177
79,2,25,two,7.209518258292323,2.86955
80,2,26,patches,11.566301867981483,7.8136406
81,2,27,of,0.3811565941839452,2.2886603
82,2,28,intensely,10.590133256221165,6.7721024
83,2,29,bright,1.125064978146347,3.9370592
84,2,30,and,4.717272817099647,5.786349
85,2,31,white,7.746979070772667,7.3785067
86,2,32,light,0.584088835470696,3.2214386
87,2,33,over,8.356349543661393,5.917785
88,2,34,the,0.8599892416588312,4.302029
89,2,35,sunspots,2.8883749346073717,6.9016504
90,2,36,He,14.013085387827084,2.8425298
91,2,37,jotted,12.253269708843623,6.985822
92,2,38,a,4.009161651196215,2.4260736
93,2,39,note,0.7792044119195384,3.345282
94,2,40,in,3.6602834448381985,3.8722534
95,2,41,his,0.21083693059278497,0.9802312
96,2,42,painstaking,16.488240832581116,3.3763752
97,2,43,record,7.403891133963508,3.8023005
98,2,44,That,20.730393307660222,2.6150556
99,2,45,night,2.6246907261741463,6.564173
100,2,46,there,7.965243848458106,4.3605776
101,2,47,was,0.5723833113804354,1.889462
102,2,48,scarcely,11.460557168085844,4.0482526
103,2,49,a,0.726136262812987,2.219762
104,2,50,square,8.880519136374796,6.583699
105,2,51,inch,0.8305904270784559,2.7039027
106,2,52,of,0.24448198162618992,1.3633344
